INFO 	[2020-02-18 17-48-27]    ----------------------------- Start CAD2COJT ------------------------------    [CAD2COJT_2001]
INFO 	Command line: Input file: C:\Users\cheta\Documents\s4850111_rotaryatble_asm.cojt\s4850111_rotaryatble_asm.jt | Destination folder: C:\Users\cheta\Documents | Output file: C:\Users\cheta\Documents\s4850111_rotaryatble_asm.cojt | Log file: C:\Users\cheta\Documents\Cad2Cojt_s4850111_rotaryatble_asm_20200218_174818.log    [CAD2COJT_2004]
INFO 	Start conversion of file: C:\Users\cheta\Documents\s4850111_rotaryatble_asm.cojt\s4850111_rotaryatble_asm.jt    [CAD2COJT_2012]
INFO 	----------------------------------------------------------------------------------------------------    [JT2CO_2002]
INFO 	Created by TxJt2co application.    [JT2CO_2001]
INFO 	Conversion Beginning on : 2020_02_18_17:48:27    [JT2CO_2003]
INFO 	The command line: cad2cojt.exe C:\Users\cheta\Documents\s4850111_rotaryatble_asm.cojt\s4850111_rotaryatble_asm.jt -dest C:\Users\cheta\Documents -output s4850111_rotaryatble_asm -l C:\Users\cheta\Documents\Cad2Cojt_s4850111_rotaryatble_asm_20200218_174818.log -createAssySubfolder s4850111_rotaryatble_asm -emsClass PmCompoundResource;Turn_Table;PmToolInstance -cojt -previewImageFileFormat bmp -insertComponent -previewXML     [JT2CO_2004]
INFO 	----------------------------------------------------------------------------------------------------    [JT2CO_2002]
FATAL	Failed to open file: C:\Users\cheta\Documents\s4850111_rotaryatble_asm.cojt\s4850111_rotaryatble_asm.jt.				    [JT2CO_5003]
ERROR	Conversion finished with errors.    [JT2CO_4013]
ERROR	Failed to convert to .cojt file: C:\Users\cheta\Documents\s4850111_rotaryatble_asm.cojt\s4850111_rotaryatble_asm.jt    [CAD2COJT_4005]
ERROR	Failed to convert file: C:\Users\cheta\Documents\s4850111_rotaryatble_asm.cojt\s4850111_rotaryatble_asm.jt    [CAD2COJT_4004]
INFO 	[2020-02-18 17-48-27]    ------------------------------ End CAD2COJT -------------------------------    [CAD2COJT_2009]
